CORAL_NUM,GENOTYPE,TREATMENT,TANK_NUM,endo_per_cm2,chla_ug_cm2,mean_tissue_biomass,GP,R,pH_mean,DOC_mean
149,O,Rubble_Dom,2,0.41595561280443705,1.6476607975184414,7.702881718600687,3.828072983310878,1.5228454362439452,8.039721699120623,154.67587669875002
151,W,Control,3,0.5032734606710484,NA,13.80632615818683,2.7438309804174157,0.951724551,8.032022537102531,141.46240436600002
153,D,Algae_Dom,14,0.438397310091796,2.7424648794370143,7.732427826669743,3.079988574919701,1.1163650091074109,8.051934858764644,124.460064781
155,W,Algae_Dom,4,0.3405549762677192,2.5802811795728493,5.922299099030632,3.4036902683726322,1.061203123550069,8.060288888668053,180.91056307
156,H,Algae_Dom,4,0.6323776514896877,1.7527289518035107,6.7651867653500375,3.211774522184077,1.355288171466163,8.060288888668053,180.91056307
159,H,Rubble_Dom,12,0.34388757426665745,3.938482169113172,15.793724706469645,2.862412675661417,1.3659242433204606,8.05987093476518,129.195564507
161,H,Control,3,0.6756546380722431,0.8831094353326945,21.145137827537237,NA,NA,8.032022537102531,141.46240436600002
162,O,Algae_Dom,14,0.664827904759452,2.428167199133804,20.76613789659384,4.975553998,2.245031861323924,8.051934858764644,124.460064781
202,X,Control,3,0.4530237201623172,NA,9.915957593625926,NA,0.7178934718314155,8.032022537102531,141.46240436600002
203,X,Algae_Dom,14,0.9063565839566812,4.492084263400106,13.945663834882463,NA,1.3212421272067671,8.051934858764644,124.460064781
204,Q,Algae_Dom,13,1.3818015644506174,2.955557303331618,16.522550654816435,4.795952243088642,1.5198642701259033,8.05405603436128,114.140655155
206,Q,Rubble_Dom,2,1.164198328269739,5.266326310052242,19.310419907052445,4.6654480954314925,1.3914799410256449,8.039721699120623,154.67587669875002
207,X,Rubble_Dom,10,0.3033897185974076,3.6424097495048526,4.630490210583145,2.9752638218702825,0.5650312516546602,8.056944066354125,118.073467815
208,X,Coral_Dom,7,0.6634750980125533,3.304644334125025,27.90933925052806,3.1018860020406622,1.0892249367706666,8.040484016124932,120.077097918
210,Q,Coral_Dom,9,0.5867500617615632,3.657958420406086,15.61284049257444,3.137516163212944,0.8558828415387048,8.052154246251016,124.865744715
